Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,108.410004,109.169998,108.209999,109.150002,97.446007,2527700
2016-11-08,109.010002,109.989998,108.730003,109.620003,97.865608,2074200
2016-11-09,108.769997,111.330002,108.500000,110.980003,99.079788,6482000
2016-11-10,111.589996,112.129997,110.480003,111.370003,99.427956,5083500
2016-11-11,111.000000,111.510002,110.690002,111.410004,99.463669,4005200
2016-11-14,111.779999,112.050003,111.290001,111.699997,99.722572,5234000
2016-11-15,112.040001,112.599998,111.760002,112.570000,100.499298,6037200
2016-11-16,112.370003,112.529999,112.139999,112.410004,100.356445,7113900
2016-11-17,112.529999,113.040001,112.349998,112.980003,100.865334,1874800
2016-11-18,113.050003,113.120003,112.669998,112.769997,100.677849,2298200
2016-11-21,113.120003,113.629997,112.870003,113.620003,101.436745,2493900
2016-11-22,113.879997,114.040001,113.440002,113.949997,101.731300,2673200
2016-11-23,113.720001,114.120003,113.489998,114.110001,101.874153,1818700
2016-11-25,114.349998,114.550003,114.209999,114.550003,102.266975,889800
2016-11-28,114.320000,114.410004,113.800003,113.889999,101.677734,1849800
2016-11-29,113.900002,114.349998,113.680000,114.050003,101.820610,1544200
2016-11-30,114.470001,114.550003,113.779999,113.779999,101.579544,4406200
2016-12-01,114.029999,114.029999,113.070000,113.309998,101.159950,2601100
2016-12-02,113.339996,113.669998,113.150002,113.309998,101.159950,1755900
2016-12-05,113.900002,114.370003,113.769997,114.099998,101.865227,3842900
2016-12-06,114.339996,114.709999,114.019997,114.680000,102.383049,2357100
2016-12-07,114.629997,116.190002,114.510002,116.099998,103.650772,4000000
2016-12-08,116.180000,116.849998,115.970001,116.519997,104.025742,2679400
2016-12-09,116.769997,117.150002,116.620003,117.150002,104.588188,2310200
2016-12-12,117.120003,117.349998,116.589996,116.849998,104.320358,4224500
2016-12-13,117.300003,117.790001,117.129997,117.529999,104.927444,4393900
2016-12-14,117.480003,117.730003,116.230003,116.470001,103.981125,3885400
2016-12-15,116.559998,117.529999,116.500000,116.949997,104.409622,3343100
2016-12-16,117.269997,117.379997,116.589996,116.769997,104.248932,1991600
2016-12-19,116.959999,117.320000,116.800003,117.099998,104.543541,2405700
2016-12-20,116.879997,116.930000,116.599998,116.870003,104.990028,2942400
2016-12-21,116.870003,116.919998,116.540001,116.540001,104.693588,2248600
2016-12-22,116.419998,116.510002,115.980003,116.239998,104.424065,3105800
2016-12-23,116.230003,116.419998,116.129997,116.419998,104.585762,2325800
2016-12-27,116.570000,116.989998,116.500000,116.709999,104.846298,3386800
2016-12-28,116.879997,116.930000,115.660004,115.739998,103.974876,2591000
2016-12-29,115.739998,116.029999,115.470001,115.750000,103.983879,1622700
2016-12-30,116.000000,116.000000,114.959999,115.320000,103.597580,2909900
2017-01-03,116.150002,116.550003,115.489998,116.199997,104.388115,2731600
2017-01-04,116.470001,117.190002,116.419998,117.089996,105.187668,3228700
2017-01-05,116.949997,117.089996,116.400002,116.860001,104.981033,2604000
2017-01-06,117.019997,117.519997,116.639999,117.230003,105.313431,2317600
2017-01-09,117.099998,117.139999,116.739998,116.779999,104.909149,2461400
2017-01-10,116.760002,117.360001,116.620003,116.870003,104.990028,2055300
2017-01-11,116.910004,117.239998,116.489998,117.239998,105.322411,2751800
